Curte games?,Curte futebol?,Curte livros?,Curte jogos de tabuleiro?,Curte jogos de fórmula 1?,Curte jogos de MMA?,Idade,Estado que mora atualmente,Área de Formação,Tempo que atua na área de dados,Posição da cadeira (senioridade),Você se considera uma pessoa feliz?
Sim,Não,Sim,Sim,Não,Não,43,SP,Humanas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Não,Sim,24,PR,Exatas,Não atuo,Pleno,Sim
Sim,Não,Sim,Sim,Sim,Sim,27,PR,Exatas,de 2 anos a 4 anos,Júnior,Sim
Sim,Não,Sim,Sim,Não,Não,21,MG,Exatas,Não atuo,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Não,24,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Não,Não,21,RJ,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Não,Sim,22,SP,Exatas,De 6 meses a 1 ano,Iniciante,Não
Sim,Não,Sim,Sim,Sim,Não,39,SP,Humanas,Mais de 4 anos,Especialista,Sim
Sim,Sim,Sim,Não,Não,Não,27,PE,Humanas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Sim,Não,Não,35,DF,Exatas,De 0 a 6 meses,Júnior,Sim
Sim,Não,Sim,Sim,Não,Não,25,RN,Exatas,de 2 anos a 4 anos,Pleno,Sim
Sim,Sim,Sim,Não,Não,Não,22,SP,Exatas,De 1 ano a 2 anos,Júnior,Não
Sim,Sim,Não,Não,Não,Não,22,MG,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Sim,35,RJ,Exatas,De 6 meses a 1 ano,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Sim,34,MG,Humanas,Não atuo,C-Level,Não
Não,Sim,Sim,Sim,Não,Não,41,MG,Humanas,De 0 a 6 meses,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Não,29,MG,Exatas,Mais de 4 anos,Especialista,Sim
Sim,Sim,Sim,Sim,Não,Não,27,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
Sim,Não,Não,Sim,Não,Não,21,ES,Exatas,Não atuo,Iniciante,Sim
Não,Não,Sim,Não,Não,Não,40,SC,Exatas,Não atuo,Sênior,Sim
Sim,Não,Sim,Sim,Sim,Sim,39,SP,Humanas,Não atuo,Pleno,Sim
Sim,Sim,Sim,Sim,Sim,Não,30,MG,Humanas,Mais de 4 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Não,Não,30,ES,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Não,Não,Não,25,RJ,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Não,Sim,41,MG,Humanas,Não atuo,Iniciante,Sim
Sim,Não,Sim,Sim,Sim,Não,37,PB,Exatas,de 2 anos a 4 anos,Júnior,Sim
Não,Não,Não,Não,Não,Não,34,SP,Exatas,Mais de 4 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Não,Não,26,PR,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Não,Sim,Sim,Sim,Não,40,RJ,Exatas,Mais de 4 anos,Sênior,Não
Sim,Sim,Não,Não,Não,Não,27,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
Sim,Sim,Não,Sim,Não,Não,32,RS,Exatas,De 1 ano a 2 anos,Pleno,Sim
Sim,Não,Sim,Sim,Sim,Não,48,BA,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Não,33,SP,Humanas,Mais de 4 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Sim,Sim,22,SP,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Sim,Sim,Não,Sim,Sim,35,SC,Exatas,De 1 ano a 2 anos,Coordenação,Sim
Sim,Sim,Sim,Sim,Sim,Sim,44,SP,Exatas,De 1 ano a 2 anos,Iniciante,Sim
Sim,Sim,Sim,Não,Não,Não,27,SP,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Sim,30,SP,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Não,Não,Não,36,SP,Exatas,Não atuo,Especialista,Sim
